District,Municipality,Administrative Unit,Vote Tally
Berat,Berat,Otllak,638
Berat,Ura Vajgurore,Poshnje,332
Berat,Ura Vajgurore,Ura Vajgurore,339
Diber,Diber,Tomin,318
Diber,Klos,Klos (DI),310
Diber,Klos,Suc,60
Diber,Klos,Xiber,64
Diber,Mat,Derjan,35
Diber,Mat,Lis,61
Diber,Mat,Rukaj,69
Diber,Mat,Ulez,64
Durres,Kruje,Koder Thumane,307
Durres,Shijak,Gjepalaj,306
Durres,Shijak,Xhafzotaj,389
Elbasan,Belsh,Grekan,65
Elbasan,Cerrik,Cerrik,300
Elbasan,Elbasan,Bradashesh,351
Elbasan,Elbasan,Zavaline,39
Elbasan,Elbasan,Elbasan,3164
Elbasan,Gramsh,Kushove,30
Elbasan,Gramsh,Lenie,37
Elbasan,Gramsh,Porocan,37
Elbasan,Gramsh,Sult,34
Elbasan,Librazhd,Librazhd,368
Elbasan,Librazhd,Qender-Librazhd,371
Elbasan,Librazhd,Stebleve,6
Elbasan,Peqin,Sheze,31
Elbasan,Prrenjas,Prrenjas,645
Fier,Fier,Frakull,337
Fier,Fier,Libofshe,337
Fier,Fier,Fier,3521
Fier,Lushnje,Allkaj,370
Fier,Lushnje,Bubullime,320
Fier,Lushnje,Dushk,364
Fier,Lushnje,Fier Shegan,637
Fier,Mallakaster,Qender-Mallakaster,337
Gjirokaster,Kelcyre,Ballaban,35
Gjirokaster,Memaliaj,Krahes,349
Gjirokaster,Tepelene,Lopes,33
Korce,Kolonje,Barmash,35
Korce,Kolonje,Erseke,382
Korce,Korce,Drenove,335
Korce,Korce,Lekas,38
Korce,Korce,Qender-Bulgarec,386
Korce,Korce,Korce,3207
Korce,Maliq,Libonik,397
Korce,Maliq,Pirg,372
Korce,Pogradec,Udenisht,352
Kukes,Has,Gjinaj,3
Kukes,Has,Golaj,31
Kukes,Has,Krume,32
Kukes,Tropoje,Tropoje,37
Lezhe,Kurbin,Fushe Kuqe,359
Lezhe,Kurbin,Milot,680
Lezhe,Lezhe,Zejmen,692
Lezhe,Mirdite,Rubik,355
Lezhe,Mirdite,Selite,62
Shkoder,Fushe Arrez,Fushe Arrez,380
Shkoder,Malesi e Madhe,Kastrat,336
Shkoder,Malesi e Madhe,Koplik,390
Shkoder,Malesi e Madhe,Qender-Malesi e Madhe,307
Shkoder,Puke,Puke,381
Shkoder,Shkoder,Dajc (ShK),349
Shkoder,Vau Dejes,Hajmel,640
Shkoder,Vau Dejes,Temal,353
Shkoder,Vau Dejes,Vig-Mnele,312
Tirane,Kavaje,Golem (TR),346
Tirane,Rrogozhine,Rrogozhine,376
Tirane,Tirane,Baldushk,323
Tirane,Tirane,Kashar,3283
Tirane,Tirane,Zall Bastar,342
Tirane,Tirane,Njesia Nr. 4,3371
Tirane,Tirane,Njesia Nr. 6,3482
Tirane,Tirane,Njesia Nr. 9,3134
Tirane,Vore,Berxull,622
Vlore,Finiq,Mesopotam,60
Vlore,Vlore,Novosele (VL),344
